"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"204","OR6S1","",-1.75493857158641,0.008,"hLCL","Talkowski et al. 2014","","No"
"205","PIGF","",-0.4291729903471,0.008,"hLCL","Talkowski et al. 2014","","No"
"206","KRCC1","",-0.505865990191764,0.008,"hLCL","Talkowski et al. 2014","","No"
"207","CDK5RAP2","",-0.256470527950611,0.00805,"hLCL","Talkowski et al. 2014","","No"
"208","C20orf94","",-0.468809397859269,0.0081,"hLCL","Talkowski et al. 2014","","No"
"209","TCERG1","",-0.30519316347997,0.0081,"hLCL","Talkowski et al. 2014","","No"
"210","MDN1","",-0.387665107188735,0.0082,"hLCL","Talkowski et al. 2014","","No"
"211","ALDH16A1","",-0.47444305114602,0.0083,"hLCL","Talkowski et al. 2014","","No"
"212","CCDC150","",-0.668314677583238,0.0083,"hLCL","Talkowski et al. 2014","","No"
"213","TRAK2","",-0.402461974271817,0.0083,"hLCL","Talkowski et al. 2014","","No"
"214","SGOL1","",-0.410596434111434,0.0083,"hLCL","Talkowski et al. 2014","","No"
"215","NFS1","",-0.161973475645,0.00841,"hLCL","Talkowski et al. 2014","","No"
"216","MDC1","",-0.344171957277217,0.00847,"hLCL","Talkowski et al. 2014","","No"
"217","GXYLT1","",-0.381785155178342,0.0085,"hLCL","Talkowski et al. 2014","","No"
"218","GPD2","",-0.589848753084507,0.0086,"hLCL","Talkowski et al. 2014","","No"
"219","CEP290","",-0.524235574700802,0.0088,"hLCL","Talkowski et al. 2014","","No"
"220","PIPOX","",1.29889206541875,0.0088,"hLCL","Talkowski et al. 2014","","No"
"221","HNRPDL","",-0.278705195217132,0.0088,"hLCL","Talkowski et al. 2014","","No"
"222","HNRNPA1L2","",-0.286572086829318,0.0089,"hLCL","Talkowski et al. 2014","","No"
"223","SPC25","",-0.294712574416479,0.0089,"hLCL","Talkowski et al. 2014","","No"
"224","TACC3","",-0.321040481168326,0.0089,"hLCL","Talkowski et al. 2014","","No"
"225","GTPBP3","",-0.34454442015481,0.00896,"hLCL","Talkowski et al. 2014","","No"
"226","ASTN2","",-0.342915133575153,0.00909,"hLCL","Talkowski et al. 2014","","No"
"227","HNRNPA3P1","",-0.510537495820515,0.0091,"hLCL","Talkowski et al. 2014","","No"
"228","RHOT1","",-0.349934135415399,0.0091,"hLCL","Talkowski et al. 2014","","No"
"229","ZNF546","",-0.568166941426502,0.0091,"hLCL","Talkowski et al. 2014","","No"
"230","MYSM1","",-0.33929520208453,0.0092,"hLCL","Talkowski et al. 2014","","No"
"231","C19orf52","",0.224037858195787,0.0092,"hLCL","Talkowski et al. 2014","","No"
"232","ORC4","",-0.278826926194156,0.0092,"hLCL","Talkowski et al. 2014","","No"
"233","SEMA7A","",0.571625967967957,0.0093,"hLCL","Talkowski et al. 2014","","No"
"234","MBNL3","",-0.745880559552314,0.0093,"hLCL","Talkowski et al. 2014","","No"
"235","ANKFY1","",-0.370675220988495,0.009369,"hLCL","Talkowski et al. 2014","","No"
"236","LOC400236","",-0.570514174768791,0.0094,"hLCL","Talkowski et al. 2014","","No"
"237","TRAF4","",0.449582019332518,0.0094,"hLCL","Talkowski et al. 2014","","No"
"238","ZNF497","",-0.806646149355172,0.0094,"hLCL","Talkowski et al. 2014","","No"
"239","NUP50","",-0.300623898352317,0.0096,"hLCL","Talkowski et al. 2014","","No"
"240","CEP19","",-0.573273442077052,0.0096,"hLCL","Talkowski et al. 2014","","No"
"241","ELF2","",-0.317269230071995,0.0096,"hLCL","Talkowski et al. 2014","","No"
"242","DDX55","",-0.316081318164996,0.0097,"hLCL","Talkowski et al. 2014","","No"
"243","DNMT1","",-0.38974950519527,0.0097,"hLCL","Talkowski et al. 2014","","No"
"244","HMMR","",-0.670559577306349,0.0097,"hLCL","Talkowski et al. 2014","","No"
"245","TMEM219","",-0.441975756635264,0.0098,"hLCL","Talkowski et al. 2014","","Yes"
"246","EME1","",-0.454643182556843,0.0098,"hLCL","Talkowski et al. 2014","","No"
"247","FANCL","",-0.414624682109279,0.01,"hLCL","Talkowski et al. 2014","","No"
"248","ITGB1BP2","",-0.609664042581447,0.01,"hLCL","Talkowski et al. 2014","","No"
"249","GEMIN6","",-0.318872431946182,0.0101,"hLCL","Talkowski et al. 2014","","No"
"250","VPRBP","",-0.2679444263662,0.01014,"hLCL","Talkowski et al. 2014","","No"
"251","ASF1B","",-0.435637496041754,0.0102,"hLCL","Talkowski et al. 2014","","No"
"252","CCDC58","",-0.428426654265987,0.0102,"hLCL","Talkowski et al. 2014","","No"
"253","NAA38","",-0.201770209723816,0.0102,"hLCL","Talkowski et al. 2014","","No"
"254","ERLIN2","",-0.350321268823382,0.010280206,"hLCL","Talkowski et al. 2014","","No"
"255","A1BG","",0.761963470840005,0.0104,"hLCL","Talkowski et al. 2014","","No"
"256","DROSHA","",-0.296011709893627,0.0104,"hLCL","Talkowski et al. 2014","","No"
"257","NFYC","",-0.218266282640591,0.0105,"hLCL","Talkowski et al. 2014","","No"
"258","THAP6","",-0.377044917376822,0.0105,"hLCL","Talkowski et al. 2014","","No"
"259","ODF2","",-0.229894995229964,0.0105,"hLCL","Talkowski et al. 2014","","No"
"260","STIL","",-0.384968023091699,0.0106,"hLCL","Talkowski et al. 2014","","No"
"261","ASTL","",1.51950578240383,0.0107,"hLCL","Talkowski et al. 2014","","No"
"262","ZNF431","",-0.34846094913859,0.0108,"hLCL","Talkowski et al. 2014","","No"
"263","VPS13B","",-0.303181206590378,0.0108,"hLCL","Talkowski et al. 2014","","No"
"264","TMED10P1","",-0.628333101277348,0.0108,"hLCL","Talkowski et al. 2014","","No"
"265","PDHA1","",-0.201806353752314,0.0109,"hLCL","Talkowski et al. 2014","","No"
"266","C1orf131","",-0.219609953926617,0.011,"hLCL","Talkowski et al. 2014","","No"
"267","INTS7","",-0.268140887253688,0.0111,"hLCL","Talkowski et al. 2014","","No"
"268","SKOR1","",0.83501024291633,0.0111,"hLCL","Talkowski et al. 2014","","No"
"269","NFATC2IP","",-0.354853457460074,0.0111,"hLCL","Talkowski et al. 2014","","No"
"270","BMP2K","",-0.81800938387541,0.0111,"hLCL","Talkowski et al. 2014","","No"
"271","TAF2","",-0.310881049368624,0.0111,"hLCL","Talkowski et al. 2014","","No"
"272","RECQL4","",-0.540050753413459,0.0111,"hLCL","Talkowski et al. 2014","","No"
"273","ZNF507","",-0.223147061373551,0.0113,"hLCL","Talkowski et al. 2014","","No"
"274","ZDHHC6","",-0.253810797203352,0.0114,"hLCL","Talkowski et al. 2014","","No"
"275","LOC147804","",-0.559972668738092,0.0114,"hLCL","Talkowski et al. 2014","","No"
"276","PMS1","",-0.444840324340802,0.0115,"hLCL","Talkowski et al. 2014","","No"
"277","TMEM130","",0.71220550143333,0.011620918,"hLCL","Talkowski et al. 2014","","No"
