"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"894","LTB4R2","",-0.399356402811533,0.049065421,"hLCL","Talkowski et al. 2014","","No"
"895","FAM116A","",-0.262817618528317,0.049065421,"hLCL","Talkowski et al. 2014","","No"
"896","CEP63","",-0.211135346169683,0.049065421,"hLCL","Talkowski et al. 2014","","No"
"897","BIRC5","",-0.34665863479669,0.049180328,"hLCL","Talkowski et al. 2014","","No"
"898","C6orf48","",0.350260695860031,0.049180328,"hLCL","Talkowski et al. 2014","","No"
"899","CKAP5","",-0.290825317498424,0.049353702,"hLCL","Talkowski et al. 2014","","No"
"900","PCMTD1","",-0.463976757894828,0.049411765,"hLCL","Talkowski et al. 2014","","No"
"901","CDC37L1","",0.185657392004828,0.049411765,"hLCL","Talkowski et al. 2014","","No"
"902","PRPS2","",-0.339748401440561,0.049411765,"hLCL","Talkowski et al. 2014","","No"
"903","TRIM33","",-0.160725492599471,0.04964539,"hLCL","Talkowski et al. 2014","","No"
"904","MIA","",1.54851169763329,0.04964539,"hLCL","Talkowski et al. 2014","","No"
"905","CELF2","",-0.425266466842651,0.049763033,"hLCL","Talkowski et al. 2014","","No"
"906","GOLGA8F","",-0.517120150386747,0.049881235,"hLCL","Talkowski et al. 2014","","No"
"907","LYAR","",-0.301894343605352,0.049881235,"hLCL","Talkowski et al. 2014","","No"
"908","GTF2IP1","",-0.178549519571367,0.049881235,"hLCL","Talkowski et al. 2014","","No"
