"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"182","SIGLEC11","",-0.63961900346242,0.0049,"hLCL","Talkowski et al. 2014","","No"
"183","DFNB59","",-0.628076461254936,0.0049,"hLCL","Talkowski et al. 2014","","No"
"184","SFI1","",-0.533205267193503,0.0049,"hLCL","Talkowski et al. 2014","","No"
"185","STK31","",-1.27482594128767,0.0049,"hLCL","Talkowski et al. 2014","","No"
"186","ZNF80","",-0.498046748284411,0.005,"hLCL","Talkowski et al. 2014","","No"
"187","BRF2","",0.276115779607495,0.00502,"hLCL","Talkowski et al. 2014","","No"
"188","ANKRD6","",-1.53005746285543,0.00506,"hLCL","Talkowski et al. 2014","","No"
"189","CD80","",0.732037038272423,0.0051,"hLCL","Talkowski et al. 2014","","No"
"190","LOC100630923","",-0.474447942022458,0.0051,"hLCL","Talkowski et al. 2014","","No"
"191","COMMD3","",-0.285878670471157,0.0052,"hLCL","Talkowski et al. 2014","","No"
"192","RANBP10","",0.191041721013921,0.0052,"hLCL","Talkowski et al. 2014","","No"
"193","RAI1","",0.368712101601806,0.0052,"hLCL","Talkowski et al. 2014","","No"
"194","MED26","",0.366521195489647,0.0052,"hLCL","Talkowski et al. 2014","","No"
"195","TSEN34","",0.216423362984203,0.0052,"hLCL","Talkowski et al. 2014","","No"
"196","CCDC109B","",-0.383931445050706,0.0052,"hLCL","Talkowski et al. 2014","","No"
"197","GPATCH3","",0.202611666935923,0.0053,"hLCL","Talkowski et al. 2014","","No"
"198","CHURC1-FNTB","",-0.311760654411506,0.0053,"hLCL","Talkowski et al. 2014","","No"
"199","ASB3","",-0.224989201149968,0.0053,"hLCL","Talkowski et al. 2014","","No"
"200","OTX1","",1.65741440310865,0.0053,"hLCL","Talkowski et al. 2014","","No"
"201","POTEE","",-0.444310228596691,0.0053,"hLCL","Talkowski et al. 2014","","No"
"202","SLC38A5","",-0.45157725878273,0.0053,"hLCL","Talkowski et al. 2014","","No"
"203","PGF","",0.982420061400224,0.00532,"hLCL","Talkowski et al. 2014","","No"
"204","CD1C","",-1.95294134975131,0.0054,"hLCL","Talkowski et al. 2014","","No"
"205","SIDT2","",0.582952897164515,0.0054,"hLCL","Talkowski et al. 2014","","No"
"206","BBS4","",0.310401290748525,0.0054,"hLCL","Talkowski et al. 2014","","No"
"207","UBE2Z","",0.301106351155859,0.0054,"hLCL","Talkowski et al. 2014","","No"
"208","KCP","",-1.31855392278598,0.0054,"hLCL","Talkowski et al. 2014","","No"
"209","MAFA","",-1.31763884205996,0.0054,"hLCL","Talkowski et al. 2014","","No"
"210","PPAP2B","",2.04309551244761,0.0055,"hLCL","Talkowski et al. 2014","","No"
"211","LPGAT1","",0.647944255731365,0.0055,"hLCL","Talkowski et al. 2014","","No"
"212","PICK1","",-0.317493560757192,0.0055,"hLCL","Talkowski et al. 2014","","No"
"213","CBWD1","",-0.34227676626407,0.0055,"hLCL","Talkowski et al. 2014","","No"
