"","gene_symbol","region","expression"
"204","MAPT","ctx-rh-paracentral",8.45204266854096
"205","GSC","ctx-rh-insula",1.73340589141484
"206","GSC","ctx-lh-paracentral",1.48132509493175
"207","GSC","ctx-rh-precuneus",1.77747661587137
"208","GSC","ctx-lh-medialorbitofrontal",1.48482688000072
"209","GSC","ctx-rh-inferiortemporal",1.7891680877993
"210","GSC","ctx-rh-medialorbitofrontal",1.67563049068862
"211","GSC","ctx-rh-precentral",1.86395720070904
"212","GSC","ctx-rh-lateralorbitofrontal",1.72283623086581
"213","GSC","ctx-rh-parahippocampal",1.7529377836089
"214","GSC","ctx-lh-superiortemporal",1.49444821461538
"215","GSC","ctx-lh-parahippocampal",1.34902675446924
"216","GSC","ctx-rh-superiorparietal",1.98312989670885
"217","GSC","ctx-lh-precuneus",1.61608967030565
"218","GSC","ctx-lh-inferiortemporal",1.60749864365849
"219","GSC","ctx-rh-supramarginal",1.72327693330218
"220","GSC","ctx-rh-parsopercularis",1.60560051477783
"221","GSC","ctx-rh-lingual",1.59706837748573
"222","GSC","ctx-lh-isthmuscingulate",1.44761247964863
"223","GSC","ctx-rh-isthmuscingulate",2.03388091428346
"224","GSC","ctx-rh-lateraloccipital",1.90239720889774
"225","GSC","ctx-rh-superiortemporal",1.82997859830578
"226","GSC","ctx-lh-entorhinal",1.55758499581125
"227","GSC","ctx-rh-temporalpole",1.87404429752681
"228","GSC","ctx-lh-superiorparietal",1.70780746136647
"229","GSC","ctx-lh-parsorbitalis",1.52271975549886
"230","GSC","ctx-rh-caudalmiddlefrontal",1.60244883039808
"231","GSC","ctx-rh-entorhinal",1.83867175738826
"232","GSC","ctx-lh-fusiform",1.60995126106878
"233","GSC","ctx-rh-pericalcarine",1.75083507497362
"234","GSC","ctx-rh-caudalanteriorcingulate",1.69937222759524
"235","GSC","ctx-rh-frontalpole",1.46911560254574
"236","GSC","ctx-rh-parstriangularis",1.83331911505876
"237","GSC","ctx-rh-postcentral",1.72140179027422
"238","GSC","ctx-rh-rostralanteriorcingulate",1.62411488755972
"239","GSC","ctx-lh-superiorfrontal",1.6658599882957
"240","GSC","ctx-lh-rostralanteriorcingulate",1.56077380959614
"241","GSC","ctx-lh-precentral",1.60665047983719
"242","GSC","ctx-lh-cuneus",1.53949562117347
"243","GSC","ctx-rh-posteriorcingulate",1.9689721946664
"244","GSC","ctx-lh-parsopercularis",1.54576471000672
"245","GSC","ctx-lh-insula",1.38119136461916
"246","GSC","ctx-rh-transversetemporal",2.05441789927234
"247","GSC","ctx-rh-superiorfrontal",1.72712919059657
"248","GSC","ctx-rh-parsorbitalis",1.8600967852469
"249","GSC","ctx-lh-transversetemporal",1.61057693883048
"250","GSC","ctx-rh-cuneus",1.9270036192699
"251","GSC","ctx-lh-inferiorparietal",1.62550085631207
"252","GSC","ctx-lh-pericalcarine",1.80650223636109
"253","GSC","ctx-lh-postcentral",1.60016431429705
"254","GSC","ctx-lh-supramarginal",1.57983132138358
"255","GSC","ctx-rh-fusiform",1.79743857512678
"256","GSC","ctx-lh-rostralmiddlefrontal",1.56264117540181
